home_win_rate,home_form_points,home_avg_goals_scored,home_avg_goals_conceded,home_draw_rate,away_win_rate,away_form_points,away_avg_goals_scored,away_avg_goals_conceded,away_draw_rate,h2h_home_win_rate,h2h_draw_rate,label
0.5333,1.5,4.4667,4.5333,0.0,0.5,0.5,3.7143,5.1429,0.0,1.0,0.0,0
0.8571,2.0,5.9286,3.1429,0.0,0.4444,1.0,4.1111,4.1111,0.0,1.0,0.0,0
0.2727,1.0,3.7273,5.0,0.0,0.5,1.0,4.5,4.25,0.0,0.5,0.0,1
0.5385,2.0,3.2308,3.3846,0.0,0.2727,1.5,3.2727,4.2727,0.0,0.5,0.0,1
0.8333,2.5,4.5833,2.25,0.0,0.4286,1.0,3.5714,2.8571,0.0,1.0,0.0,0
0.6667,2.0,4.8333,4.0,0.0,0.1667,1.0,2.8333,5.5,0.0,1.0,0.0,0
0.5,2.0,2.8333,3.6667,0.0,0.5,1.0,3.9286,3.7857,0.0,1.0,0.0,0
0.75,2.0,4.75,2.5833,0.0,0.6667,1.5,4.4167,3.9167,0.0,0.6667,0.0,1
0.4167,1.0,4.4167,6.0,0.0,0.4615,2.0,4.2308,4.0,0.0,0.3333,0.0,0
0.5833,2.0,6.25,4.9167,0.0,0.5833,1.5,3.5833,3.8333,0.0,0.5,0.0,0
0.5714,2.5,4.1429,3.6429,0.0,0.1538,0.5,2.5385,5.3846,0.0,1.0,0.0,1
0.2727,1.0,4.3636,6.6364,0.0,0.4667,1.5,5.4,5.3333,0.0,0.3333,0.0,0
0.8462,1.0,4.5385,2.8462,0.0,0.4,2.0,4.7333,5.2667,0.0,0.3333,0.0,1
0.5833,3.0,3.25,3.1667,0.0,0.4167,1.5,3.6667,5.1667,0.0,1.0,0.0,0
0.5385,2.0,3.0,3.3846,0.0,0.5,1.5,5.6,4.5,0.0,0.45,0.0,0
0.4,1.0,4.0,4.3,0.0,0.3846,1.0,3.8462,5.3077,0.0,0.45,0.0,1
0.6923,2.5,5.4615,3.9231,0.0,0.5385,1.5,4.6923,4.0,0.0,0.45,0.0,0
0.6154,3.0,3.5385,3.3846,0.0,0.4167,0.5,3.9167,4.5833,0.0,0.45,0.0,1
0.8462,3.0,4.4615,2.2308,0.0,0.6667,1.5,5.4444,4.3333,0.0,0.45,0.0,0
0.2308,1.5,3.1538,5.6154,0.0,0.3333,2.5,3.4444,4.1111,0.0,0.45,0.0,0
0.4615,1.0,4.8462,5.2308,0.0,0.5385,1.0,3.4615,3.8462,0.0,0.45,0.0,1
0.5,1.5,5.6,4.8,0.0,0.7692,2.5,5.3077,3.1538,0.0,0.45,0.0,0
0.5,2.5,3.3,3.2,0.0,0.4,2.0,5.0,3.9,0.0,0.45,0.0,0
0.4615,1.0,4.4615,5.5385,0.0,0.2143,0.5,2.7857,5.1429,0.0,0.45,0.0,1
0.5714,2.5,2.9286,3.1429,0.0,0.4545,1.5,5.0909,4.2727,0.0,1.0,0.0,0
0.3636,1.0,3.8182,4.1818,0.0,0.4286,1.0,3.7857,5.0714,0.0,0.0,0.0,0
0.8571,3.0,4.8571,2.7143,0.0,0.6,1.0,5.8,4.9,0.0,1.0,0.0,0
0.2857,2.0,3.2143,5.4286,0.0,0.3,2.0,3.4,4.1,0.0,1.0,0.0,1
0.6667,0.5,3.6667,3.2222,0.0,0.6923,1.5,4.5385,3.9231,0.0,0.45,0.0,0
0.5714,2.5,3.3571,3.2857,0.0,0.4615,1.0,3.7692,4.3077,0.0,0.0,0.0,1
0.7143,2.5,5.6429,4.1429,0.0,0.5,1.0,4.8571,4.2857,0.0,1.0,0.0,1
0.4286,1.0,4.2857,5.5,0.0,0.2667,1.0,2.9333,4.9333,0.0,0.0,0.0,0
0.6,0.5,4.1,3.5,0.0,0.4286,1.5,3.9286,4.0714,0.0,0.45,0.0,1
0.5455,2.5,3.5455,3.2727,0.0,0.3636,2.0,4.9091,4.0909,0.0,1.0,0.0,1
0.6923,1.5,4.6923,2.8462,0.0,0.4167,1.5,3.6667,3.3333,0.0,0.45,0.0,0
0.7857,0.5,4.2143,2.7143,0.0,0.4,2.5,4.1,4.7,0.0,0.45,0.0,0
0.4286,0.5,4.5714,5.2143,0.0,0.5714,1.5,3.5714,3.6429,0.0,0.0,0.0,0
0.5455,1.5,5.3636,4.4545,0.0,0.7143,2.0,5.0,3.1429,0.0,1.0,0.0,1
0.8667,3.0,5.0,2.8,0.0,0.5455,0.5,5.6364,5.0909,0.0,1.0,0.0,1
0.7,0.5,3.8,3.1,0.0,0.6429,1.5,4.3571,4.0,0.0,1.0,0.0,0
0.6667,2.5,5.3333,4.0,0.0,0.5333,1.5,4.6667,4.0667,0.0,0.5,0.0,0
0.5333,2.0,3.2,3.5333,0.0,0.5,1.5,4.0,4.0714,0.0,0.0,0.0,1
0.7143,1.5,4.7143,2.8571,0.0,0.3846,1.5,3.6154,3.4615,0.0,1.0,0.0,1
0.4667,1.5,4.6,5.1333,0.0,0.25,1.0,2.75,5.1875,0.0,0.5,0.0,0
0.4167,1.0,3.9167,4.1667,0.0,0.4,0.5,3.8,5.0667,0.0,0.5,0.0,0
0.8,1.0,4.1333,2.6667,0.0,0.3636,2.0,3.9091,4.5455,0.0,1.0,0.0,0
